comment_enabled,content,creation_date,end_publication,excerpt,featured,id,image,last_update,login_required,password,pingback_enabled,slug,start_publication,status,tags,template,title
1,"<p>Hi everyone! You may have noticed that our website has a fresh new look. We redesigned the front end of our site from the ground up, featuring a much prettier and modern template and a more intuitive navigation tree. We hope this makes your browsing experience more pleasant and informative.</p><p>We are hard at work adding more features and functionality to our site to get it ready for the PiE 2013 season.&#160;Please feel free to email&#160;<a href=""mailto:pit@pioneers.berkeley.edu"" title=""pit@pioneers.berkeley.edu"" onclick=""window.open('https://mail.google.com/mail/?view=cm&amp;tf=1&amp;to=pit@pioneers.berkeley.edu&amp;cc=&amp;bcc=&amp;su=&amp;body=','_blank');return false;"">pit@pioneers.berkeley.edu</a>&#160;if you have any questions or suggestions about our site!</p><p>-Amy Fu, former Director and current IT member</p>",2012-11-03 21:48:31,,...,0,3,,2012-11-03 22:03:36,0,,1,our-sites-new-look,,2,,entry_detail.html,Our Site's New Look
1,"<div style=""position: relative;""><img class=""ratio"" style=""width: 100%; height: auto; display: block;"" src=""http://placehold.it/16x9"" alt="""" /> <iframe style=""position: absolute; top: 0; left: 0; width: 100%; height: 100%;"" src=""http://www.youtube.com/embed/557eAZc5QrA?rel=0"" frameborder=""0""></iframe></div>
<p>Halloween: tricks, treats, and...flying pumpkins? This year, the PiE team built a giant trebuchet for Lawrence Hall of Science's Creepy Happy Halloween&nbsp;event. The finished model had a&nbsp;<em>sixteen foot tall</em> arm to launch 10 lb. pumpkins 200 feet across the lawn!</p>
<p>But it turns out that we're not the only creative ones: participants showed off their skills in PiE's supplementary workshop ""Build Your Own Catapult,"" where they were able to build their mini catapult using legos, spoons, and rubber bands! Participants were also able to try out PiE's autofiring robot - and try to launch raquetballs into a castle.&nbsp;</p>
<p>The Bay Area News Group&nbsp;captured the launch and the happy kids. <a href=""http://link.brightcove.com/services/player/bcpid16752273001?bckey=AQ~~%2CAAAAAGAiBRQ~%2CBjKnLqnuNvrujdfSBytcFRaZpIIfGYyw&amp;bclid=1620732838&amp;bctid=1928869440001"">Check it out!</a></p>",2012-11-07 21:01:22,,...,0,4,,2012-11-10 11:13:41,0,,1,smashing-success,,2,,entry_detail.html,A Smashing Success!
1,"<p>We have some exciting news: Pioneers in Engineering is a finalist in the Zipcar Students with Drive contest! This means that we could win $5,500 in Zipcar hours if we win a Facebook voting competition. <br /> <br />With that many Zipcar hours, we can let our wonderful mentors use Zipcar to get from Berkeley to our high schools easier during the competition season. That means mentors will be able to spend less time commuting, and more time helping students build their robots!<br /> <br /><strong>Please vote for us and help us win this contest!</strong> It only takes 2 minutes at this link: <a href=""http://apps.facebook.com/students-with-drive/"" target=""_blank"">http://apps.facebook.com/students-with-drive/</a><br /> <br />You will have to add the app, like Zipcar, and then you will be able to vote for PiE in the Academic category! Then, share it with your friends and ask them to vote for us too!<br /><br />Every vote counts!</p>",2012-11-13 00:18:01,,...,0,5,,2012-11-13 00:21:29,0,,1,help-pie-win-5500-zipcar-miles,,2,,entry_detail.html,"Help PiE win $5,500 in Zipcar miles"
1,"<p>PiE is currently in a contest to win $5,500 worth of Zipcar credits. Some people have been wondering: if we win this competition, how would we use the money?</p>
<p>As you know, PiE is a low-budget, student-run robotics competition based in UC Berkeley for underserved high schools all around the Bay Area. Our goal is for the money to go towards transporting our mentors from Berkeley to the high schools more often than in the past.</p>
<p>We will have about 24 teams this year for our seven week competition. If we get $5,500 from Zipcar, we can afford for our mentors to go their high schools more than twice as often as in the past. In previous years, mentors have either paid out of their own pocket for gas or have taken public transportation (which takes more than twice as long as driving).</p>
<p>If we divide our $5,500 by 24 teams, by 7 weeks, and by 8 dollars/hour, we can afford for our mentors to use 4 hours of Zipcar per week, doubling the amount of time many mentors were able to devote last year.</p>
<p>Twice as much time with mentors in high schools will help all of our participants learn more about science and engineering!</p>
<p>So, if you want to help underpriviledged students learn about science and engineering, please give us your vote! <a href=""https://apps.facebook.com/students-with-drive/vote.php"">https://apps.facebook.com/students-with-drive/vote.php</a></p>
<p><img src=""/media/public/2012/11/15/zipcarflyer_color.png"" alt="""" /></p>",2012-11-15 14:50:15,,...,0,6,,2012-11-19 11:04:27,0,,1,how-would-pie-use-5500-dollars,,2,,entry_detail.html,"How would PiE use $5,500 in Zipcar credit?"
1,"<p><img style=""vertical-align: baseline;"" src=""https://tbp.berkeley.edu/gallery/d/321603-2/tm_campustour_fa12_26.JPG"" alt="""" /></p>
<p>Last week, the PiE Prep team and the high school students in Ralph Bunche High School took a break from their weekly STEM activities. Instead of designing paper rockets or building their own speakers, students were taught the basics for applying for college and financial aid. While many college bounded high-schoolers are filling out applications around this time of year, very few students from Ralph Bunch are actually thinking about higher education.&nbsp;</p>
<p>Here are some staggering statistics: The high school drop-out rate for the Oakland Unified School District is about 34.8%, with a 63% CAHSEE pass rate &ndash; and Ralph Bunche&rsquo;s CAHSEE pass rate is just 30%.</p>
<p>Two weeks ago, we brought the students to the UC Berkeley Campus to show them a typical day in college. After an inspiring presentation from bioengineering professor Terry Johnson about engineering career paths, the students showed great interest in his research projects &ndash; and science. We hope that by building strong relationships with these student and exposing to them to the exciting world of STEM, they will be inspired to continue their education.&nbsp;</p>",2012-11-16 00:01:37,,...,0,7,,2012-11-16 11:30:36,0,,1,prepping-college,,2,,entry_detail.html,Prepping For College
0,"<p>We want to extend a big ""thank you"" to the entire PiE community for your support during the Zipcar Students with Drive contest. </p>

<p>Thanks to your support, we have won $5,500 in Zipcar credits which will go towards transporting mentors from UC Berkeley to high schools across the Bay Area. </p>

<p>We wish you a happy Thanksgiving, and look forward to seeing all of you in the spring in our 2013 competition!</p>",2012-11-21 21:13:32,,,0,8,,2012-11-21 21:13:32,0,,0,zipcar-success,,2,,entry_detail.html,Zipcar Success!
1,"<p>Mary Clarke-Miller teaches Encinal High's Multimedia class, a course that covers graphic design, web design, and Filmmaking. Her students learn digital animation, game design, and programming, and are introduced to software like Flash, Maya, BYOB, Unity and Javascript.&nbsp;&nbsp;</p>
<p>This may sound like a mouthful for students whose schools don&rsquo;t offer computer science courses. AP Computer Science is offered in only 10% of American high schools &ndash; and according to College Board, only 14,517 students took the AP computer science test in 2010, compared to 194,784 students that took the AP calculus test. There is such a shortage of students in computer science courses in high school that <a href=""http://www.nytimes.com/2012/10/01/technology/microsoft-sends-engineers-to-schools-to-encourage-the-next-generation.html?pagewanted=all"">Microsoft is sending engineers into schools to encourage the next generation.&nbsp;</a></p>
<p>Ms. Miller is pushing for more computer science classes for Encinal High. She believes that science and technology courses are important in high school because &ldquo;project-based learning and applied theory helps students see the real world applications of core courses like math and physics&rdquo;. That is essentially the goal of PiE &ndash; we strive to allow students to convert theory into practice by using their STEM skills to strategically build a functioning robot. While our team works to fulfill our vision, Ms. Miller and her team is working to fulfill another one: her team is&nbsp;working to bring two Computer Science courses to Encinal High: &ldquo;Exploring Computer Science&rdquo; and &ldquo;CS Principles,&rdquo; a course also known as &ldquo;<a href=""http://inst.eecs.berkeley.edu/~cs10/fa12/"">Joy and Beauty of Computing</a>,&rdquo; developed in UC Berkeley by Professor Dan Garcia. On top of that, they are even developing an after-school engineering class &ndash; to build electric go-carts! &nbsp;</p>
<p>These are exciting steps forward for Encinal that were inspired by its participation in PiE. The discussion about bringing more CS courses to Encinal was spurred after Ms. Miller's students saw a video of the previous Encinal team participating in PiE&rsquo;s robotic competition. We hope to continue inspiring and encouraging students and teachers in STEM fields.</p>",2013-01-22 14:55:17,,...,0,9,uploads/zinnia/ss_PiEfinal_sp12_025.jpg,2013-01-23 22:21:12,0,,1,high-school-teacher-pushes-advanced-computer-sciences-classes,,2,,entry_detail.html,High School Teacher Pushes For Advanced Computer Science Classes 
1,"<p><img src=""/media/uploads/zinnia/MechDecal_RJ_02.jpg"" alt="""" /></p>
<p>Think back to your time in high school:&nbsp;&nbsp;questions about college, uncertainties about your future, and what seemed like an endless pile of work.&nbsp;&nbsp;When thoughts of college became overwhelming, we looked to our role models for assistance.&nbsp;</p>
<p>That is where PiE and, more importantly, mentors as individuals come into play.&nbsp;&nbsp;As a mentor, you will find students from a particular school and stay with them throughout the entire eight week PiE competition.&nbsp;&nbsp;The students will grow and change under your guidance, and you will become the person they go to when they need help or have questions.</p>
<div>
<p>&nbsp;In addition, you&rsquo;ll be able to stimulate your creativity as you assist the students in building and designing a fully operational robot.&nbsp;Uncertain of your technical skills?&nbsp;&nbsp;No problem!&nbsp;&nbsp;Mentors may enroll in a student run, UC Berkeley course that will teach prospective mentors anything that they may need to know.&nbsp;&nbsp;Already a robotics veteran? We will also be hosting and advanced course that takes on more difficult topics such as autonomous programming and sensor control.&nbsp;&nbsp;Did we mention that you could get class credit too?</p>
<p>If you are interested in signing up, look under the &ldquo;Get Involved-Become a Mentor&rdquo; tab at the top of this page.&nbsp;&nbsp;If you have any specific questions or concerns, e-mail us at&nbsp;<a href=""mailto:mentorship@pioneers.berkeley.edu"" target=""_blank"">mentorship@pioneers.berkeley.edu</a>.&nbsp;&nbsp;We accept all ages and all majors, and you need not be a UC Berkeley student to apply.</p>
</div>",2013-01-25 15:45:05,,...,0,10,,2013-01-27 21:12:06,0,,1,mentors,,2,,entry_detail.html,Interested in Mentoring For PiE?
1,"<p><img src=""http://img834.imageshack.us/img834/703/dsc7653x.jpg"" alt="""" /></p>
<p>For the last five years, Pioneers in Engineering (PiE) have provided a low cost robotics competition to Bay Area high school students that face a high barrier to entry in conventional robotics competitions. One way PiE maintains its commitment to low cost is through its in-house manufacturing and development of a robotics kit, complete with electronics and aluminum to assemble a driving robot! Recently, <a href=""http://hackaday.com/2012/03/18/motor-controller-also-does-nyan-cat/"">PiE has pushed to develop its own motor controllers</a> and has to rely on multiple design iterations before arriving at a dependable motor controller for competition use.</p>
<p>For these reasons, PiE has depended on <a href=""http://www.4pcb.com/"">Advanced Circuits</a>&nbsp;the last five years for all of its printed circuit board (PCBs) needs. From custom shields for the FEZ Panda II to the kits' motor controllers, PiE uses these PCBs manufactured by Advanced Circuits in its prototyping as well as creating the final product shipped in its robotics kits every year. Because PiE's electronics iterates through many cycles, PiE can always depend on Advanced Circuit's prompt delivery dates as well as high quality manufacturing in our PCBs.&nbsp;</p>
<p>Thank you Advanced Circuits for your continued support for the past years and thank you for helping us support STEM outreach in the Bay Area!&nbsp;</p>",2013-02-07 17:27:37,,...,0,12,uploads/zinnia/advanced-circuits-logo.jpg,2013-02-07 23:08:24,0,,1,thank-you-advanced-circuits,,2,,entry_detail.html,Thank You Advanced Circuits!
1,"<p><span>After careful deliberation, PiE has finalized the acceptance list for the 2013 Robotics Competition. Congratulations to the schools that were accepted! We look forward to seeing you at Kickoff this weekend.</span></p>
<p><span>Alameda Community Learning Center</span><br /><span>Albany High School</span><br /><span>Balboa High School</span><br /><span>Berkeley High School</span><br /><span>Bishop O'Dowd HS</span><br /><span>California College Preparatory Academy</span><br /><span>De Anza</span><br /><span>El Cerrito High School</span><br /><span>Encinal High School</span><br /><span>Head-Royce School</span><br /><span>Impact Academy of Arts and Technology</span><br /><span>Lawrence Hall of Science</span><br /><span>Lighthouse Community Charter School</span><br /><span>Lionel Wilson College Prep</span><br /><span>LPS Richmond</span><br /><span>Nea Community Learning Center</span><br /><span>Oakland Technical High School</span><br /><span>Pinole Valley High School</span><br /><span>Ralph J. Bunche</span><br /><span>Realm Charter School</span><br /><span>Saint Mary's College High School</span><br /><span>San Lorenzo High School</span><br /><span>Skyline High</span></p>",2013-02-27 20:26:17,,...,0,13,,2013-03-06 01:30:48,0,,1,2013-high-schools,,2,,entry_detail.html,Participating High Schools for 2013 Competition 
1,"<p>Where do dreams of the 2,299 parts of PiE&rsquo;s robotic kit go to materialize? It all happens in a mechanical machine shop in the basement of Etcheverry Hall. Since November of last year, PiE&rsquo;s mechanical team has spent about 1-2 days a week, 3-4 hours a day in the machine shop. Manufacturing is a lengthy process, so mechanical designs, drawings, deadlines, and plans were all frozen as early as last October. The machine shop is a resource provided by UC Berkeley's Mechanical Engineering Department.&nbsp;</p>
<p style=""padding-left: 30px;"">""We are proud of the fact that we are able to take a resource that the university provides us and do the biggest production they&rsquo;ve ever seen there. We&rsquo;ve done on a per part basis this year more machining than any other mechanical engineering student group has ever done.&rdquo;&nbsp;</p>
<p style=""padding-left: 30px;"">- PiE Mechanical Lead Doug Hutchings</p>
<p>The base kit modules and its extensions that goes out to the high school teams have been completely redesigned to&nbsp;to reduce the barriers of entry to more creative design for students. The new kit is able to be assembled multiple different ways straight out of the box; this way, students can finish building the driving base sooner, allowing room and time for creative designs. There is a tremendous amount of functionality just waiting for students to pick and choose, and glue it together.&nbsp;</p>
<div>&nbsp;</div>
<p>&nbsp;</p>",2013-03-01 20:06:16,,...,0,14,uploads/zinnia/Machineshop.JPG,2013-03-09 19:13:39,0,,1,mechanical-team-makes-magic,,2,,entry_detail.html,PiE's Mechanical Team Makes Magic 
1,"<p><a href=""http://en.wikipedia.org/wiki/Draw-a-Scientist_Test"">What does a scientist look like to a kindergartener?</a> What about a high school student? Are <em>you</em> envisioning the stereotypical cartoon scientist with the lab coat, and crazy hair?</p>
<p>Terry Johnson, a bioengineering lecturer at UC Berkeley and the featured speaker at PiE's 2013 Kickoff, wants to break the stereotype of scientists and engineers being ""dangerous and imbalanced"" for young students: &ldquo;Kids don&rsquo;t know what scientists and engineers <em>actually do.&rdquo;</em></p>
<p><em> </em>He stresses the importance of exposing students to real scientists: ""Society isn&rsquo;t good at giving people idea of what scientists really do.&rdquo;</p>
<p>Johnson advises interested students to take as many math and science courses in high school, and to take advantage of resources provided for high school students interested in STEM (like PiE!). His biggest piece of advice, however, is that &ldquo;you don&rsquo;t have to become a different person to be in the science field. A lot of people associate scientists and engineers to some kind of crazy genius. And we&rsquo;re not. I&rsquo;m not a genius.&rdquo; In fact, Johnson spills a secret: he&rsquo;s not good at math.</p>
<p>How can that be? Well, according to Johnson, <em>it doesn&rsquo;t matter.</em>&nbsp;He states that it&rsquo;s not about being a person to whom STEM comes natural. Rather, it's about finding solutions to problems that you're passionate about.</p>
<p>&ldquo;Typically scientists and engineers are motivated to make the world a better place, or to understand something about the world that has never been understood before.&nbsp;<span>If you are passionate about a particular kind of problem, that is more important than&nbsp;</span>how easy or difficult you find the classes in that discipline.&rdquo;&nbsp;</p>",2013-03-05 04:59:15,,...,0,15,uploads/zinnia/DSC_5727_1.jpg,2013-03-09 19:10:40,0,,1,me-scientist,,2,,entry_detail.html,Me? A Scientist?
1,"<p>New to this year, Game day is the second half of Kickoff. During this day, the PiE challenge is revealed, and teams are given their base kits! The teams then disperse into workshops with their mentors to complete the base robotics kit. The goal of Game Day is for each team to have a fully functional base robot to expand upon. Staff was happy to see the 24 teams working hard to put together their newly received kit, taking advantage of the resources on the PiE wiki, and spending what little time left on planning and designing strategies.</p>
<p>One of the most thrilling part of Game Day is the announcement of the Game Challenge. &nbsp;This year, challenge is &ldquo;Cube Route&rdquo;, a game that will heavily focus on sensors, Radio-Frequency Identification (RFID) and programming.&nbsp;&nbsp;It will certainly be a highly anticipating game where it will test each team&rsquo;s programming knowledge and skills to the limit.&nbsp;</p>
<p>&nbsp;</p>",2013-03-14 22:45:56,,...,0,17,uploads/zinnia/DSC_9204.jpg,2013-04-09 17:11:12,0,,1,2013-Game-Day,,2,gameday,entry_detail.html,Game Day 2013
